country,income_per_capita_2011,life_expectancy_2016,population_2015,four_regions
Afghanistan,1660,58,3.37E+07,asia
Albania,10200,77.7,2920000,europe
Algeria,13000,77.4,3.99E+07,africa
Andorra,42000,82.5,78000,europe
Angola,5910,64.7,2.79E+07,africa
Antigua and Barbuda,18600,77.3,99900,americas
Argentina,19600,76.7,4.34E+07,americas
Armenia,7020,75.7,2920000,europe
Australia,41800,82.5,2.38E+07,asia
Austria,44200,81.5,8680000,europe
Azerbaijan,15800,72.1,9620000,europe
Bahamas,22700,73.8,387000,americas
Bahrain,40700,76.9,1370000,asia
Bangladesh,2570,72.8,1.61E+08,asia
Barbados,15400,76.5,284000,americas
Belarus,17200,73.5,9490000,europe
Belgium,41200,80.9,1.13E+07,europe
Belize,7860,72,359000,americas
Benin,1820,64.4,1.06E+07,africa
Bhutan,6810,74.1,787000,asia
Bolivia,5600,73.3,1.07E+07,americas
Bosnia and Herzegovina,9890,77.6,3540000,europe
Botswana,13900,65.5,2210000,africa
Brazil,15000,75.3,2.06E+08,americas
Brunei,82400,77,418000,asia
Bulgaria,15700,75.1,7180000,europe
Burkina Faso,1470,60.8,1.81E+07,africa
Burundi,772,60.4,1.02E+07,africa
Cambodia,2660,68.7,1.55E+07,asia
Cameroon,2690,60.2,2.28E+07,africa
Canada,41600,81.8,3.59E+07,americas
Cape Verde,5990,73.7,533000,africa
Central African Republic,912,50.3,4550000,africa
Chad,1860,59.8,1.40E+07,africa
Chile,20400,80.2,1.78E+07,americas
China,10400,76.6,1.40E+09,asia
Colombia,11500,78.2,4.82E+07,americas
Comoros,1420,67.6,777000,africa
"Congo, Dem. Rep.",630,61.6,7.62E+07,africa
"Congo, Rep.",5210,63,5000000,africa
Costa Rica,13400,81,4810000,americas
Cote d'Ivoire,2510,60,2.31E+07,africa
Croatia,20700,77.3,4240000,europe
Cuba,18800,79,1.15E+07,americas
Cyprus,33200,80.5,1160000,europe
Czech Republic,28800,79.1,1.06E+07,europe
Denmark,44400,80.8,5690000,europe
Djibouti,2700,66.7,927000,africa
Dominica,10100,73,73200,americas
Dominican Republic,11300,75.7,1.05E+07,americas
Ecuador,9930,77.9,1.61E+07,americas
Egypt,9820,72.2,9.38E+07,africa
El Salvador,7430,75.3,6310000,americas
Equatorial Guinea,34400,65.5,1180000,africa
Eritrea,1510,63.7,4850000,africa
Estonia,24500,77.4,1320000,europe
Ethiopia,1160,65.6,9.99E+07,africa
Fiji,7490,65.5,892000,asia
Finland,40700,81.7,5480000,europe
France,37500,82.3,6.45E+07,europe
Gabon,15900,66.6,1930000,africa
Gambia,1540,67.3,1980000,africa
Georgia,7320,74,3950000,europe
Germany,42700,80.9,8.17E+07,europe
Ghana,3400,66,2.76E+07,africa
Greece,26100,81,1.12E+07,europe
Grenada,11200,71.6,107000,americas
Guatemala,6840,72.7,1.63E+07,americas
Guinea,1210,60.7,1.21E+07,africa
Guinea-Bissau,1480,58.8,1770000,africa
Guyana,6130,67.9,769000,americas
Haiti,1560,64,1.07E+07,americas
Honduras,4050,72.7,8960000,americas
Hungary,22700,75.7,9780000,europe
Iceland,39500,82.3,330000,europe
India,4640,68.6,1.31E+09,asia
Indonesia,8840,71.7,2.58E+08,asia
Iran,17900,76.1,7.94E+07,asia
